Code,Date,Open,High,Low,Close,Volume,Accum,Accum 2
MEGA,6/2/2020,6500,6500,6500,6500,0,0,0
MERK,6/2/2020,2190,2210,2160,2210,235,140,0
META,6/2/2020,95,96,95,95,684,331,0
MFIN,6/2/2020,835,835,820,825,266,50,-57
MFMI,6/2/2020,510,550,474,484,50,-31,0
MGNA,6/2/2020,50,50,50,50,0,0,0
MGRO,6/2/2020,675,700,675,695,28900,4475,-464
MICE,6/2/2020,300,300,290,290,141,81,0
MIDI,6/2/2020,1435,1435,1435,1435,1,-1,0
MIKA,6/2/2020,2370,2550,2270,2540,24011,13899,9298
MINA,6/2/2020,50,50,50,50,29,-2,0
MIRA,6/2/2020,50,50,50,50,1,0,0
MITI,6/2/2020,51,51,51,51,0,0,0
MKNT,6/2/2020,50,50,50,50,100,100,0
MKPI,6/2/2020,15850,15850,15850,15850,0,0,0
MLBI,6/2/2020,9950,10000,9950,9975,1003,-483,-270
MLIA,6/2/2020,500,530,500,530,82646,9524,60
MLPL,6/2/2020,50,54,50,52,85010,29641,7272
MLPT,6/2/2020,540,590,535,565,6046,-2364,-1621
MMLP,6/2/2020,143,143,141,141,2688,1686,-94
MNCN,6/2/2020,860,900,860,885,698083,26054,-18398
MOLI,6/2/2020,1060,1135,1050,1135,1296,92,-264
MPMX,6/2/2020,595,595,595,595,10979,2861,1
MPOW,6/2/2020,59,60,56,60,851,-24,0
MPPA,6/2/2020,113,114,110,113,13813,8578,6844
MPRO,6/2/2020,850,850,850,850,5,-5,0
MRAT,6/2/2020,131,131,125,126,322,-70,0
MREI,6/2/2020,6950,6950,6950,6950,0,0,0
MSIN,6/2/2020,308,308,300,304,1943,-1227,-60
MSKY,6/2/2020,1000,1045,1000,1045,37,13,0
MTDL,6/2/2020,1305,1400,1305,1400,11203,-6217,-4551
MTFN,6/2/2020,50,50,50,50,0,0,0
MTLA,6/2/2020,400,400,400,400,0,0,0
MTPS,6/2/2020,134,145,131,136,5742,-4014,0
MTRA,6/2/2020,244,244,244,244,0,0,0
MTSM,6/2/2020,147,147,147,147,1,0,0
MTWI,6/2/2020,51,51,51,51,2,-3,-2
MYOH,6/2/2020,875,900,860,900,1943,-2052,-1819
MYOR,6/2/2020,2200,2340,2200,2320,108250,97085,45824
MYRX,6/2/2020,50,50,50,50,0,0,0
MYRXP,6/2/2020,50,50,50,50,0,0,0
MYTX,6/2/2020,50,50,50,50,514,-13,0
NASA,6/2/2020,220,220,206,206,341,-47,91
NASA-W,6/2/2020,5,5,5,5,0,0,0
NATO,6/2/2020,500,500,498,498,17051,7218,8550
NATO-W,6/2/2020,200,200,200,200,0,0,0
NELY,6/2/2020,140,142,140,142,24,0,0
NFCX,6/2/2020,1200,1200,1150,1160,15659,-5350,-5334
NICK,6/2/2020,300,318,300,318,103,101,0
NIKL,6/2/2020,410,412,406,408,5211,1449,-10
NIPS,6/2/2020,282,282,282,282,0,0,0
NIRO,6/2/2020,153,153,140,142,33,2,0
NISP,6/2/2020,695,715,695,700,556,217,0
NOBU,6/2/2020,635,635,635,635,0,0,0
NRCA,6/2/2020,332,338,332,336,12604,-9100,-10523
NUSA,6/2/2020,50,50,50,50,0,0,0
NUSA-W,6/2/2020,2,2,1,2,26848,-4561,100
NZIA,6/2/2020,148,148,129,137,26,-2,-1
NZIA-W,6/2/2020,14,16,13,16,565,-286,0
OASA,6/2/2020,340,340,340,340,30001,0,0
OCAP,6/2/2020,140,140,140,140,1,-1,0
OKAS,6/2/2020,76,77,73,75,25883,-2816,0
OMRE,6/2/2020,338,338,338,338,0,0,0
OPMS,6/2/2020,96,97,95,96,4629,1751,0
PADI,6/2/2020,50,50,50,50,2,1,0
PALM,6/2/2020,220,220,187,187,10127,-302,0
PAMG,6/2/2020,68,68,65,66,20301,2439,-49
PANI,6/2/2020,72,76,70,70,58,-30,0
PANR,6/2/2020,94,94,87,90,56946,27815,20370
PANS,6/2/2020,765,895,765,855,4682,-911,-530
PBID,6/2/2020,900,975,900,910,731,540,285
PBRX,6/2/2020,264,270,252,252,2439,-974,-470
PBSA,6/2/2020,750,750,750,750,0,0,0
PCAR,6/2/2020,204,218,204,218,2,0,0
PDES,6/2/2020,410,510,410,420,6,-2,-1
PEGE,6/2/2020,170,170,164,164,44,-43,0
PEHA,6/2/2020,1010,1010,990,1010,69,-30,-19
PGAS,6/2/2020,860,925,860,885,2444292,-23,14612
PGJO,6/2/2020,90,91,84,91,459,4,0
